DATE,Y
01JUN1983,100.07698554
01JUL1983,100.2424218
01AUG1983,99.789153403
01SEP1983,100.15946382
01OCT1983,99.908990328
01NOV1983,99.920906291
01DEC1983,100.16586056
01JAN1984,99.747645401
01FEB1984,100.06857548
01MAR1984,100.10382173
01APR1984,99.992917642
01MAY1984,99.813578542
01JUN1984,100.11010651
01JUL1984,100.11506444
01AUG1984,99.893108801
01SEP1984,100.00455295
01OCT1984,99.9438514
01NOV1984,100.02806123
01DEC1984,100.03826794
01JAN1985,99.914486474
01FEB1985,100.25687418
01MAR1985,99.953798599
01APR1985,99.970635073
01MAY1985,99.798547989
01JUN1985,99.991706669
01JUL1985,100.04274651
01AUG1985,99.874343926
01SEP1985,100.12589186
01OCT1985,99.900483423
01NOV1985,99.977218087
01DEC1985,99.919826233
01JAN1986,100.09333869
01FEB1986,99.891474821
01MAR1986,100.1882682
01APR1986,99.92877847
01MAY1986,99.928996015
01JUN1986,99.919167123
01JUL1986,100.11412925
01AUG1986,100.12729028
01SEP1986,99.921390084
01OCT1986,99.953352262
01NOV1986,100.28392121
01DEC1986,99.97416697
01JAN1987,99.902628074
01FEB1987,99.907559205
01MAR1987,100.0394688
01APR1987,99.961715773
01MAY1987,100.16912254
01JUN1987,99.988888994
01JUL1987,99.860883826
01AUG1987,100.13164975
01SEP1987,100.02528369
01OCT1987,99.919421382
01NOV1987,100.04045932
01DEC1987,99.965692873
01JAN1988,100.02211838
01FEB1988,99.987792329
01MAR1988,100.05678469
01APR1988,100.00791191
01MAY1988,100.03534357
01JUN1988,100.05465426
01JUL1988,99.800905456
01AUG1988,100.14157141
01SEP1988,99.738300348
01OCT1988,100.32317682
01NOV1988,99.872401102
01DEC1988,99.979751543
01JAN1989,99.967150764
01FEB1989,99.858581924
01MAR1989,100.07703183
01APR1989,99.985450414
01MAY1989,100.03159094
01JUN1989,100.0556524
01JUL1989,100.07925011
01AUG1989,99.966452164
01SEP1989,99.877396713
01OCT1989,100.07390678
01NOV1989,99.954371835
01DEC1989,100.06013047
01JAN1990,100.04046727
01FEB1990,99.929082326
01MAR1990,100.13226277
01APR1990,99.826523828
01MAY1990,99.959348615
01JUN1990,100.07257555
01JUL1990,100.15756339
01AUG1990,99.920412962
01SEP1990,99.957305749
01OCT1990,100.02308188
01NOV1990,100.09491289
01DEC1990,99.767988765
01JAN1991,100.18324848
01FEB1991,100.03432493
01MAR1991,99.757075307
01APR1991,100.07652044
01MAY1991,100.10908206
01JUN1991,100.07946168
01JUL1991,99.837886892
01AUG1991,100.05659121
01SEP1991,99.896988428
01OCT1991,99.934903375
01NOV1991,100.1244626
01DEC1991,100.02917434
01JAN1992,99.957010982
01FEB1992,100.06204482
01MAR1992,99.98064708
01APR1992,100.12652566
01MAY1992,100.02129651
01JUN1992,99.775077391
01JUL1992,100.15217509
01AUG1992,99.904386976
01SEP1992,99.991886976
01OCT1992,100.12734613
01NOV1992,99.880148709
01DEC1992,100.07498528
01JAN1993,99.832563589
01FEB1993,100.30911244
01MAR1993,99.765607891
01APR1993,99.965226578
01MAY1993,100.11128641
01JUN1993,99.881233175
01JUL1993,99.978653123
01AUG1993,99.973348231
01SEP1993,99.994981459
01OCT1993,100.07490546
01NOV1993,99.939572409
01DEC1993,100.02456964
01JAN1994,99.911744469
01FEB1994,99.99745359
01MAR1994,100.03220721
01APR1994,99.950170589
01MAY1994,99.941690498
01JUN1994,100.14963879
01JUL1994,100.09028501
01AUG1994,99.874194921
01SEP1994,99.994634984
01OCT1994,100.10357347
01NOV1994,100.15101521
01DEC1994,99.830962459
01JAN1995,99.950129625
01FEB1995,99.91542513
01MAR1995,100.09883431
01APR1995,100.01269582
01MAY1995,99.918884117
01JUN1995,99.966482555
01JUL1995,100.01070007
01AUG1995,100.19822547
01SEP1995,99.969501023
01OCT1995,99.79081823
01NOV1995,100.06170466
01DEC1995,100.02678547
01JAN1996,99.915263198
01FEB1996,100.07658505
01MAR1996,100.01842463
01APR1996,100.09128354
01MAY1996,99.927570645
01JUN1996,99.881487073
01JUL1996,100.04942777
01AUG1996,99.97107568
01SEP1996,100.07751289
01OCT1996,99.970369486
01NOV1996,100.00170008
01DEC1996,100.03221802
01JAN1997,100.15885753
01FEB1997,99.830532385
01MAR1997,100.0742075
01APR1997,100.05379879
01MAY1997,100.14847174
01JUN1997,99.84016343
01JUL1997,100.21893927
01AUG1997,99.910415707
01SEP1997,100.10995384
01OCT1997,99.955815834
01NOV1997,99.950581279
01DEC1997,100.10820561
01JAN1998,99.867807302
01FEB1998,99.854832638
01MAR1998,100.13397871
01APR1998,100.04564327
01MAY1998,99.814157762
01JUN1998,100.21762048
01JUL1998,99.942173361
01AUG1998,100.13167845
01SEP1998,99.85874153
01OCT1998,100.01416198
01NOV1998,100.04426255
01DEC1998,99.995430228
01JAN1999,99.965630746
01FEB1999,100.12897497
01MAR1999,99.993890595
01APR1999,100.00150728
01MAY1999,100.01354956
01JUN1999,99.949361227
01JUL1999,100.15300173
01AUG1999,99.953277212
01SEP1999,99.968989878
01OCT1999,99.970346354
01NOV1999,100.19913226
01DEC1999,99.972657591
01JAN2000,99.990830779
