make,model,model_year,model_age,drive,barrels08,city_mpg,hwy_mpg,combined_mpg,co2TailpipeGpm,cylinders,engine_displ,drive_type,fuelCost08,fuelType1
Lexus,ES 350,2008,10,Front-Wheel Drive,14.982272727,19,27,22,403.95454545,6,3.5,Front-Wheel Drive,2100,Premium Gasoline
Lexus,GS 350,2008,10,Rear-Wheel Drive,14.982272727,19,27,22,403.95454545,6,3.5,Rear-Wheel Drive,2100,Premium Gasoline
Lexus,GS 350 AWD,2008,10,4-Wheel or All-Wheel Drive,16.4805,18,25,20,444.35,6,3.5,4-Wheel or All-Wheel Drive,2350,Premium Gasoline
Lexus,GS 460,2008,10,Rear-Wheel Drive,16.4805,17,24,20,444.35,8,4.6,Rear-Wheel Drive,2350,Premium Gasoline
Lexus,LS 460,2008,10,Rear-Wheel Drive,17.347894737,16,24,19,467.73684211,8,4.6,Rear-Wheel Drive,2450,Premium Gasoline
Lexus,LS 460 L,2008,10,Rear-Wheel Drive,17.347894737,16,24,19,467.73684211,8,4.6,Rear-Wheel Drive,2450,Premium Gasoline
Mitsubishi,Galant,2008,10,Front-Wheel Drive,14.330869565,20,27,23,386.39130435,4,2.4,Front-Wheel Drive,1700,Regular Gasoline
Mitsubishi,Galant,2008,10,Front-Wheel Drive,16.4805,17,25,20,444.35,6,3.8,Front-Wheel Drive,2350,Premium Gasoline
Nissan,Altima,2008,10,Front-Wheel Drive,12.677307692,23,31,26,341.80769231,4,2.5,Front-Wheel Drive,1500,Regular Gasoline
Nissan,Altima,2008,10,Front-Wheel Drive,12.677307692,23,32,26,341.80769231,4,2.5,Front-Wheel Drive,1500,Regular Gasoline
Nissan,Altima,2008,10,Front-Wheel Drive,14.982272727,19,26,22,403.95454545,6,3.5,Front-Wheel Drive,2100,Premium Gasoline
Nissan,Altima,2008,10,Front-Wheel Drive,14.982272727,19,27,22,403.95454545,6,3.5,Front-Wheel Drive,2100,Premium Gasoline
Nissan,Altima Hybrid,2008,10,Front-Wheel Drive,9.6944117647,35,33,34,261.38235294,4,2.5,Front-Wheel Drive,1150,Regular Gasoline
